Mine / Project / Field,State /,Operating,Processed,Ore Grades,,,,,,,,,,,,,Direct Shipping Ore,,,,,,,,Copper Concentrate,,,,,,Lead Concentrate,,,,,,Zinc Concentrate,,,,,,Nickel Concentrate,,,,,,,,,,,,,,,,,,,Other Concentrate,,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Tailings,Dollied,Alluvial,Waste Rock,Extraction,Rock,,Status,Metals / Minerals
(in no particular order),Territory,Period,Mt ore,g/t Au,g/t Ag,%Cu,%Pb,%Zn,%Ni,%Co,%Sn,%WO3,%Fe,%Li,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,kt conc,%Pb,%Zn,g/t Ag,%Cu,g/t Au,kt conc,%Zn,%Pb,g/t Ag,%Cu,g/t Au,kt conc,%Ni,%Cu,%Co,g/t PGEs,g/t Au,g/t Ag,kt conc,%Sn,kt conc,%Sn,kt conc,%WO3,kt conc,%WO3,Mt conc,%Fe,kt conc,%Li,kt conc,%Cu,%Pb,%Zn,g/t Ag,g/t Au,Other,Other,t Au,t Ag,kt Cu,kt Pb,kt Zn,kt Ni,kt Co,Mt Fe ore,kt Sn,kt WO3,kt U3O8,Mt Mn conc,Mt brown coal,t PGEs,kt Sb,Mt PO4 rock,Mcarats,kt REO,kt Li,Other,Other,kg Au,kg Au,kg Au,Mt,Estimated,Estimated,,,
Georgetown,QLD,1994-1997,0.347,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.767,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,Aban,Au
Mount Hogan,QLD,1994-1996,0.587,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.585,,,,,,,,,,,,,,,,,,,,,,,,1.89,,,,Aban,Au
Ernest Henry,QLD,1997-2021#,215.8,0.52,,1.05,,,,,,,,,,,,,,,,,,,"6,933E",28.87E,11.15E,31.7E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.28,195.2,"2,002",,,,,,,,,,,,,,,,,,,,,,586.4,,,,Op,Cu-Au
Osborne,QLD,"1995-2021@,#",40.7E,0.91E,,2.16E,,,,,,,,,,,,,,,,,,,"2,922E",26.09E,8.94E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.06,,823.9,,,,,,,,,,,,,,,,,,,,,,34.8,,E,,Op,Cu-Au
Eloise,QLD,"1995-2021@,#",13.3E,0.70E,14.1E,2.86E,,,,,,,,,,,,,,,,,,,"1,266E",28.25E,4.39E,87.7E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.576,111.1,357.7,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Cu-Au
Mount Rawdon,QLD,2001-2021#,68.4,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.03,,,,,,,,,,,,,,,,,,,,,,,,208.9,,E,,Op,Au
Lady Annie (HL),QLD,2007-2015@,15.7,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.7,,,,,,,,,,,,,,,,,,,,,,60.6,,E,,C&M,Cu
Mount Morgan (Au),QLD,1884-1949@,5.02,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7,0.016,,,,,,,,,,,,,,,,,,,,,,1.36,1.70,,E,,C&M,Au
Mount Morgan (AuCu smelted),QLD,1904-1965@,2.89,18.9,7.8,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.27,12.40,83.90,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au-Cu
Mount Morgan (AuCu milled),QLD,1914-1982,44.2,3.34,2.3,0.81,,,,,,,,,,,,,,,,,,,"2,391E",13.15E,38.83E,21.0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.83,50.32,314.5,,,,,,,,,,,,,,,,,,,,,,87.5,,E,,C&M,Au-Cu-Ag
Mount Chalmers,QLD,1979-1982,0.839,2.58,,1.48,,,,,,,,,,,,,,,,,,,74.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.362,,11.30,,,,,,,,,,,,,,,,,,,,,,1.94,,E,,Aban,Cu-Au
Many Peaks,QLD,1910-1928,0.538,0.31,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166,,10.40,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au
Nobles Nob,NT,1948-1986,2.14,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.58,1.73,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Peko,NT,1948-1976,3.16,3.5,14.0,4.0,,,,,,,,,0.2,%Bi,,,,,,,,,391.0,25.07,15.11,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.481,44.16,118.9,,,,,,,,,,,,,,,,,7.35,kt Bi,,,,ND,,,,Aban,Cu-Au
Warrego,NT,1970-1990,5.57,5.35,6.2,1.95,,,,,,,,,,,,,,,,,,,462.5E,23.65E,24.00E,21.8E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.07,5.5,109.1,,,,,,,,,,,,,,,,,12,kt Bi,,,,ND,,,,Aban,Cu-Au
Juno,NT,1967-1977@,0.45,57.0,7.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.13,2.752,1.43,,,,,,,,,,,,,,,,,2.29,kt Bi,,,,ND,,,,Aban,Au-Cu
White Devil,NT,1987-1999,2.14,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.42,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au-Cu
Orlando,NT,1962-1975,0.326,17.3,7.7,1.77,,,,,,,,,,,,,,,,,,,22.5E,21.22E,91.23E,56.5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.008,0.858,5.18,,,,,,,,,,,,,,,,,0.0047,kt Bi,,,,ND,,,,Aban,Au-Cu
Gecko,NT,1971-1999@,2.75,1.35,2.0,5.09,,,,,,,,,,,,,,,,,,,474.3E,25.0E,7.0E,25.1E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.337,1.4,118.6,,,,,,,,,,,,,,,,,,,,,,ND,Ag,,,Aban,Au-Cu
Ivanhoe,NT,1965-1971,0.312,3.89,15.8,3.32,,,,,,,,,,,,,,,,,,,37.2E,24.56E,16.84E,90.7E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.848,3.456,9.13,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au-Cu
Mount Diamond,NT,1971-1973,0.048,,71.8,4.8,,,,,,,,,,,,,,,,,,,8.41,27.39,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.441,2.303,,,,,,,,,,,,,,,,,0.040,kt Bi,,,,ND,,,,Aban,Cu-Ag
Redbank,NT,1966-2009@,0.41E,,,4.1E,,,,,,,,,,,,,,,,,,,60.8E,25E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Home of Bullion,NT,1949,0.0025,,,22.5,,,,,,,,,,,0.0025,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Pine Creek (mill),NT,1986-1995,11.6,2.43,1.2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.82,4.99,,,,,,,,,,,,,,,,,,,,,,,24.69,,,,Rehab,Au
Pine Creek (HL),NT,1988-1993,1.52,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.623,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Rehab,Au
Mount Bonnie,NT,1983-1990,0.476,4.18,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.821,17.90,,,,,,,,,,,,,,,,,,,,,,,0.81,,E,,Aban,Au
Wandie alluvial,NT,1985-1986,0.136,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Howley alluvial,NT,1989,0.805,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Fountainhead alluvial,NT,1986-1989@,0.830,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Glencoe,NT,1989-1990,0.045,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Cosmo Howley (mill),NT,1988-1995,10.2,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.97,,,,,,,,,,,,,,,,,,,,,,,,33.31,,,,C&M,Au
Cosmo Howley (HL),NT,1986-1989,1.45,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.556,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
The Granites,NT,1986-2021#,72.9,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.2,,,,,,,,,,,,,,,,,,,,,,,,160.3,,,,Op,Au
TC8,NT,1987-1990@,0.093,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.440,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Argo,NT,1986-1988,0.310,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.444,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
South Howley alluvial,NT,1987,0.5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Union Reefs,NT,1989-2017@,20.6,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.40,,,,,,,,,,,,,,,,,,,,,,,,99.33,,,,C&M,Au
Rustlers Roost,NT,1994-1997,4.91,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.529,,,,,,,,,,,,,,,,,,,,,,,,21.47,,,,C&M,Au
Mount Todd,NT,1987-2000@,20.1,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.83,,,,,,,,,,,,,,,,,,,,,,,,40.95,,,,C&M,Au
Moline (Au),NT,1987-1992@,1.93,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.720,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Rehab,Au
Brocks Creek,NT,1996-2000,6.13,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.964,,,,,,,,,,,,,,,,,,,,,,,,31.35,,,,C&M,Au
Central Tanami,NT,1987-2001,15.2,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.85,,,,,,,,,,,,,,,,,,,,,,,,211.9,,,,C&M,Au
Groundrush,NT,2001-2005,4.92,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.63,,,,,,,,,,,,,,,,,,,,,,,,25.07,,,,C&M,Au
Twin Bonanza-Old Pirate,NT,2015-2016,0.149,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.880,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Goodall,NT,1988-1992,4.04,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.137,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Rehab,Au
Sundance,NT,1993-1994,0.026,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.160,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Tom's Gully-Quest 29,NT,1988-2008@,1.07,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.190,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Chariot,NT,2003-2005,0.318,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.623,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
New Hope,NT,1986,0.0011,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
White Range,NT,1990,0.082,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188,,,,,,,,,,,,,,,,,,,,,,,,1.43,,,,Aban,Au
CSA,NSW,"1905-2021@,#",42.4,0.001,20.0,3.45,0.30,0.95,,,,,,,,,,,,,,,,,"5,196E",27.15E,107E,,,,132.9E,45.33E,11.87E,456E,,,515.9E,49.50E,1.37E,24E,,,,,,,,,,,,,,,,,,,,,,7.65E,,14.14E,39.7E,114E,,,,0.041,631.2,"1,419",82.3,305.3,,,,,,,,,,,,,,,,,,,,0.14,,E,,Op,Cu-Ag
Horn Island,QLD,1988-1989,0.735,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.871,,,,,,,,,,,,,,,,,,,,,,,,6.21,,,,Rehab,Au
Mount Carlton-A39,QLD,2013-2014,0.543,0.003,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,0.90,,,"3,088",,,,,127.8,0.371,,,,,,,,,,,,,,,,,,,,,,4.02,,E,,C&M,Au
Mount Carlton-V2,QLD,2013-2021#,6.58,4.49,27.4E,0.26E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.2,2.77,,,181,50.8,,,25.70,84.92,12.98,,,,,,,,,,,,,,,,,,,,,,38.8,,E,,Op,Au-Cu-Ag
Rocklands,QLD,2014-2018,3.50,1.14,,,,,,,,,,,,,11.0,67.3,,,,,,,110.7,25.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,35.29,,,,,,,,,,,,,,,,,,,,,,36.0,,E,,C&M,Cu
Camel Creek,QLD,1989-1993,1.25,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Golden Cup,QLD,1989-1993,0.296,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Big Rush,QLD,1989-1993,0.95,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Kanowna Belle-QED (HL),WA,1989-1993,0.874,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.393,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Lucky Break,QLD,1989-1990,0.175,2.30,1.6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.399,0.194,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au-Ag
Lorena,QLD,2018-2021#,0.526E,2.61E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,5.45,Au,E,,Op,Au
Minnie Moxham-Northcote,QLD,1989-1992,0.106,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Captain's Flat (Lake George),NSW,1884-1962@,4.24,1.56,54.3,0.71,5.93,10.10,,,,,,,,,449.0,0.3E,1.5E,20E,,,48.45,%S,77.0,20.38,15.85,595,,,359.5,56.65,11.4,305,1.06,2.94,584.3,56.9,2.29,27,0.29,0.68,,,,,,,,,,,,,,,,,,,,3.39,0.4,7.8,8.6,103,78.5,,,3.390,204.5,24.96,223.5,378.9,,,,,,,,,,,,,,,,,,,,1.23,,E,,Rehab,Cu-Zn-Pb-Ag-Au
Endeavour (Elura),NSW,1983-2021#,33.1,,93,,5.15,8.02,,,,,,,,,,,,,,,,,,,,,,,"2,367E",51.1E,5.2E,579E,,,"4,174E",49.9E,3.2E,120E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,886",3.13,"1,343","2,206",,,,,,,,,,,,,,,,,,,,ND,,,,Op,Pb-Zn-Ag
Endeavour (Elura) (supergene),NSW,1986-1989,0.116,9.3,"3,088",1.0,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.48,4.2,17.9,,"15,849",36.9,,,0.645,277.1,0.73,3.13,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Pb-Zn-Ag-Cu-Au
Mount Lyell,TAS,1886-2014,155.1,0.41,6.3,1.24,,,,,,,,,,,,,,,,,,,"5,942E",25.0E,5.13E,36.3E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,395",,,,,,"3,395",t pyrite conc,50.67,753.5,"2,146",,,,,,,,,,,,,,,,,,,,,,49.23,,,,C&M,Cu-Au-Ag
Rosebery-Hercules,TAS,1895-2021#,44.9E,2.2E,138E,0.43E,4.2E,12.1E,,,,,,,,,538.9E,,3.7E,285E,7.7E,24.1E,,,947.5,13.5,52.8,"2,608",21.4,12.5,"1,887",62.85,11.8,935,,5.2,"8,835",53.76,3.5,83,,0.9,,,,,,,,,,,,,,,,,,,,29.3,2.05,52.1,12.2,"1,225",11.1,,"886,331 t pyrite conc",73.21,"4,955",140.4,"1,549","4,884",,,,,,,,,,,,,,,3.07,kt Cd,,,,ND,Cd,,,Op,Pb-Zn-Ag-Cu-Au
Mount Farrell-North Mount Farrell,TAS,1901-1964,0.686,,351E,0.5,10.6E,2.5,,,,,,,,,,,,,,,,,,,,,,,133.5,61.04,,"2,027",,,1.32,42.0,8.0,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,270.6,,81.5,,,,,,,,,,,,,,,,,,,,,ND,Au,,,Aban,Pb-Zn-Ag-Cu-Au
Zeehan-Montana,TAS,1893-1958@,0.367,,538E,,14.6E,,,,,,,,,,32.1,,,"2,972",65.0,,,,,,,,,,33.4,63.63,,"2,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.8,,42.1,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Pb-Ag
Zeehan-Magnet,TAS,1899-1940@,0.571,,480E,,7.6E,,,,,,,,,,66.7E,,,"1,403E",23.0E,,,,,,,,,,83.5E,51.4E,,"3,200E",,,0.66,44.2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027,273.8,,43.6,,,,,,,,,,,,,,,,,,,,,ND,Au,,,Aban,Pb-Ag
Zeehan-Oceana,TAS,1890-1961@,0.131,,146E,,11.3E,,,,,,,,,,1.0E,,,444,39,,,,,,,,,,20.0,74.3,,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,14.9,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Pb-Ag
Zeehan Field (rest),TAS,1884-1957@,1.28E,,560E,,15.8E,,,,,,,,,,,,,,,,,,,,,,,,426.0E,47.3E,,"1,679E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017,715.4,0.0020,201.6,,,,,,,,,,,,,,,,,,,,,ND,"Au, Cu",,,Aban,Pb-Ag
Round Hill,TAS,1911-1951@,0.082,,138E,,5.8E,,,,,,,,,,,,,,,,,,,,,,,,8.38,56.6E,,"1,360E",,5.6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,11.3,,4.74,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Pb-Ag
Que River,TAS,1978-1991,2.35,3.6,204,0.45,7.6,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Pb-Zn-Ag-Cu-Au
Que River,TAS,2007-2010,0.165,4.5,231,0.38,8.8,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,E,,C&M,Pb-Zn-Ag-Cu-Au
McArthur River,NT,1995-2021#,59.1,,47.4E,,4.7,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,511E",,10.0E,45.8E,113E,,,,,"1,191",,"1,052","4,810",,,,,,,,,,,,,,,,,,,,408.1,,E,,Op,Pb-Zn-Ag
Cannington,QLD,1995-2021#,64.2,,377,,8.62,3.46,,,,,,,,,,,,,,,,,,,,,,,"6,691E",70.8E,,"2,088E",,,"2,881E",50E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,682",,"4,739","1,440",,,,,,,,,,,,,,,,,,,,ND,,,,Op,Pb-Zn-Ag
Century,QLD,2000-2015,87.5,,39.4,,1.6,11.1,,,,,,,,,,,,,,,,,,,,,,,"1,267E",63.03E,,239E,,,"13,176E",57.25E,,134E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,981",,819.5,"7,545",,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Pb-Zn-Ag
Century Tailings,QLD,2018-2021#,26.9,,13.7,,0.4,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.1,48.2,5.1E,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.8,,38.17,358.4,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Pb-Zn-Ag
Woodcutters,NT,1985-1999,4.72,,79.6,,5.8,12.8,,,,,,,0.73,%Sb,,,,,,,,,,,,,,,308.2,52.31,,848E,,,803.4,54.67,,36E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.3,,161.2,439.2,,,,,,,,,,,,,,,,,,,,ND,,,,Rehab,Pb-Zn-Ag
Mount Evelyn,NT,1967-1970,0.083,,282,,5.3,7.3,,,,,,,,,,,,,,,,,,,,,,,7.36,58.12,6.0,"2,332",,,11.98,48.95,1.8,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.31,,4.50,6.31,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Pb-Zn-Ag
Mount Isa (PbZnAg),QLD,1924-2021#,265.4,,118,,5.1,6.7,,,,,,,,,,,,,,,,,,,,,,,"20,569E",46.9E,6.9E,"1,107E",,,"23,862E",51.3E,2.3E,96.1E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,438",,"9,646","12,241",,,,,,,,,,,,,,,,,,,,ND,,,,Op,Pb-Zn-Ag
Mount Isa (CuAg),QLD,1943-2021#,315.4,,,3.05,,,,,,,,,,,,,,,,,,,"34,692E",25.9E,,37.5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,302","8,976",,,,,,,,,,,,,,,,,,,,,,13.1,Ag,E,,Op,Cu-Ag
Browns (Rum Jungle),NT,2008,0.11E,,,0.75E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ND,Cu,,,C&M,Cu
Mount Keith,WA,1994-2021#,268.6E,,,,,,0.59E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,411E",19.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,077",,,,,,,,,,,,,,,,,,,ND,,,,Op,Ni
Kambalda,WA,1967-2018,54.4E,,,0.24,,,3.10,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,211E",11.53,1.16E,0.18E,0.62E,0.15E,1.05E,,,,,,,,,,,,,,,,,,,,,0.094,8.79,99.0,,,"1,523",20.0,,,,,,,28.3,,,,,,,,,,,ND,,,,C&M,Ni-Cu-Co-PGE
Leinster,WA,"1978-2021@,#",78.8E,,,,,,1.72E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,517E",11.76,0.78E,0.11E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,120",,,,,,,,,,,,,,,,,,,ND,,,,Op,Ni
