Mine / Project / Field,State /,Operating,Processed,Ore Grades,,,,,,,,,,,,,Direct Shipping Ore,,,,,,,,Copper Concentrate,,,,,,Lead Concentrate,,,,,,Zinc Concentrate,,,,,,Nickel Concentrate,,,,,,,,,,,,,,,,,,,Other Concentrate,,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Tailings,Dollied,Alluvial,Waste Rock,Extraction,Rock,,Status,Metals / Minerals
(in no particular order),Territory,Period,Mt ore,g/t Au,g/t Ag,%Cu,%Pb,%Zn,%Ni,%Co,%Sn,%WO3,%Fe,%Li,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,kt conc,%Pb,%Zn,g/t Ag,%Cu,g/t Au,kt conc,%Zn,%Pb,g/t Ag,%Cu,g/t Au,kt conc,%Ni,%Cu,%Co,g/t PGEs,g/t Au,g/t Ag,kt conc,%Sn,kt conc,%Sn,kt conc,%WO3,kt conc,%WO3,Mt conc,%Fe,kt conc,%Li,kt conc,%Cu,%Pb,%Zn,g/t Ag,g/t Au,Other,Other,t Au,t Ag,kt Cu,kt Pb,kt Zn,kt Ni,kt Co,Mt Fe ore,kt Sn,kt WO3,kt U3O8,Mt Mn conc,Mt brown coal,t PGEs,kt Sb,Mt PO4 rock,Mcarats,kt REO,kt Li,Other,Other,kg Au,kg Au,kg Au,Mt,Estimated,Estimated,,,
Central Norseman,WA,1937-2014,18.1,9.99,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.1,84.16,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Lancefield,WA,1988-1995$,3.42,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.41,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Coyote,WA,2006-2013,1.48,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.836,,,,,,,,,,,,,,,,,,,,,,,,9.24,,E,,C&M,Au
Trouser Legs,WA,2013-2014,0.673,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.551,,,,,,,,,,,,,,,,,,,,,,,,9.07,,,,C&M,Au
Hill 50,WA,1988-1997$,16.7,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.36,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Agnew,WA,1988-2021#,37.2,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.1,,,,,,,,,,,,,,,,,,,,,,,,54.0,,E,,Op,Au
Kanowna Belle,WA,1990-2021#,53.9,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.2,,,,,,,,,,,,,,,,,,,,,,,,65.0,,E,,Op,Au
Tower Hill,WA,1989-1992,1.19,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.468,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Mount York-Lynas Find,WA,1995-1998,2.07,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.823,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Bannockburn,WA,1991-1998,4.79,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.63,,,,,,,,,,,,,,,,,,,,,,,,17.4,,E,,C&M,Au
Fortitude-Red Dog,WA,2017-2018,0.348,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.691,,,,,,,,,,,,,,,,,,,,,,,,1.89,,,,C&M,Au
Red October,WA,2019-2021#,0.115,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au
Mount Morgans,WA,"1989-2021@,#",20.4,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.56,,,,,,,,,,,,,,,,,,,,,,,,85.5,,E,,Op,Au
Meekatharra,WA,1989-1995,11.9,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.21,,,,,,,,,,,,,,,,,,,,,,,,21.3,,E,,C&M,Au
Mount Fisher,WA,1988,0.230,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Plutonic,WA,1990-2021#,62.5,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,,,,,,,,,,,,,,,,,,,,,,,,195.4,,E,,Op,Au
Darlot,WA,1988-2021#,22.1,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.55,,,,,,,,,,,,,,,,,,,,,,,,36.6,,E,,Op,Au
Lawlers,WA,1986-2013,18.7,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.20,,,,,,,,,,,,,,,,,,,,,,,,73.9,,E,,C&M,Au
Bellevue,WA,1986-1997,2.40,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98,,,,,,,,,,,,,,,,,,,,,,,,4.00,,E,,C&M,Au
Mount Gibson,WA,1986-1998,10.7,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,20.8,,E,,C&M,Au
Peak Hill (WA),WA,1988-1999,6.39,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.27,,,,,,,,,,,,,,,,,,,,,,,,43.9,,E,,C&M,Au
QED,WA,1989-1993,0.874,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.396,,,,,,,,,,,,,,,,,,,,,,,,10.46,,,,C&M,Au
Widgiemooltha,WA,2018-2019,0.583,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.013,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,C&M,Au
Cork Tree Well,WA,1988-1994,3.87,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.102,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Laverton (Crescent Gold),WA,2007-2013,9.04,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.20,,,,,,,,,,,,,,,,,,,,,,,,35.2,,E,,C&M,Au
Mertondale,WA,1986-1988,0.652,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.317,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Harbour Lights,WA,1985-1994,3.76,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.791,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Mount Ida,WA,2007-2008,0.0082,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Bardoc-Davyhurst,WA,"1984-2021@,#",12.9,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.39,,,,,,,,,,,,,,,,,,,,,,,,16.9,,E,,Op,Au
Sons of Gwalia,WA,"1897-2021@,#",39.6,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.2,5.52,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au
